q1id	q2id	q1	q2	is_duplicate
1	1	How easy is it to use our product?	How easy is it to use our product?	1
1	3	How easy is it to use our product?	How easy is it to use our products?	1
1	4	How easy is it to use our product?	main benefits of our product	1
1	5	How easy is it to use our product?	useful solutions by our product	0
1	6	How easy is it to use our product?	How useful our product	0
1	7	How easy is it to use our product?	What are you trying to solve by using our product?	0
1	8	How easy is it to use our product?	Tell me about your products	0
1	9	How easy is it to use our product?	Which features are most valuable to your product	0
1	10	How easy is it to use our product?	best product of your company	0
1	11	How easy is it to use our product?	Tell me about your best product	0
11	11	Has your Company ever filed for bankruptcy	Has your Company ever filed for bankruptcy	1
11	13	Has your Company ever filed for bankruptcy	status of the bankruptcy filing	0
11	14	Has your Company ever filed for bankruptcy	your company name?	0
11	15	Has your Company ever filed for bankruptcy	may i know your company founding date	0
11	16	Has your Company ever filed for bankruptcy	Your company name	0
11	17	Has your Company ever filed for bankruptcy	who is the main investor of your company?	0
11	18	Has your Company ever filed for bankruptcy	What is your company's legal name?	0
11	19	Has your Company ever filed for bankruptcy	What is your Company’s legal name	0
11	20	Has your Company ever filed for bankruptcy	How is your company financed?	0
11	21	Has your Company ever filed for bankruptcy	When was your company founded?	0
21	21	locations of your company?	locations of your company?	1
21	23	locations of your company?	where is your company located	1
21	24	locations of your company?	what is your company location?	1
21	25	locations of your company?	what are the company locations	1
21	26	locations of your company?	what are your client locations?	1
21	27	locations of your company?	Which features are most valuable to your company	0
21	28	locations of your company?	Where are your Company’s remote, sales and support offices located	0
21	17	locations of your company?	who is the main investor of your company?	0
21	30	locations of your company?	founding date of your company	0
21	14	locations of your company?	your company name?	0
31	31	please add your awards	please add your awards	1
31	33	please add your awards	Please describe any recent industry awards	0
31	34	please add your awards	Which features are most valuable to you	0
31	35	please add your awards	What is your plan for next year	0
31	36	please add your awards	What is your parent organisation name?	0
31	37	please add your awards	What is your name	0
31	38	please add your awards	what is your most popular product?	0
31	39	please add your awards	Which is your best selling product	0
31	40	please add your awards	what are your business plans?	0
31	41	please add your awards	what is your organisation name?	0
26	26	what are your client locations?	what are your client locations?	1
26	24	what are your client locations?	what is your company location?	1
26	44	what are your client locations?	Your locations ?	1
26	21	what are your client locations?	locations of your company?	1
26	23	what are your client locations?	where is your company located	1
26	47	what are your client locations?	location of your main office	0
26	41	what are your client locations?	what is your organisation name?	0
26	49	what are your client locations?	may i know your locations	0
26	50	what are your client locations?	Who is your investor	0
26	40	what are your client locations?	what are your business plans?	0
51	51	Can you give me online support	Can you give me online support	1
51	53	Can you give me online support	How will be your online support working	1
51	54	Can you give me online support	Do you provide online help for users	1
51	55	Can you give me online support	is there any online support for clients	1
51	56	Can you give me online support	Please add about knowledge transfer	0
51	57	Can you give me online support	What is the normal full System support available	0
51	58	Can you give me online support	what are the support you provided for clients	0
51	49	Can you give me online support	may i know your locations	0
51	60	Can you give me online support	may i know your business plans	0
51	28	Can you give me online support	Where are your Company’s remote, sales and support offices located	0
61	61	tell me the best selling product	tell me the best selling product	1
61	39	tell me the best selling product	Which is your best selling product	1
61	11	tell me the best selling product	Tell me about your best product	1
61	38	tell me the best selling product	what is your most popular product?	1
61	9	tell me the best selling product	Which features are most valuable to your product	1
61	8	tell me the best selling product	Tell me about your products	1
61	4	tell me the best selling product	main benefits of our product	0
61	6	tell me the best selling product	How useful our product	0
61	34	tell me the best selling product	Which features are most valuable to you	0
61	71	tell me the best selling product	how to measure product quality questions	0
71	71	What are you Company’s origins	What are you Company’s origins	1
71	73	What are you Company’s origins	tell me your company origins	1
71	74	What are you Company’s origins	When was your company founded	1
71	75	What are you Company’s origins	When was your Company founded	1
71	21	What are you Company’s origins	When was your company founded?	1
71	77	What are you Company’s origins	What is the founding date of your company	1
71	30	What are you Company’s origins	founding date of your company	1
71	79	What are you Company’s origins	How is your Company financed	0
71	20	What are you Company’s origins	How is your company financed?	0
71	81	What are you Company’s origins	what is your company name	0
81	81	may i know your company name?	may i know your company name?	1
81	83	may i know your company name?	may i know your organisation name	1
81	14	may i know your company name?	your company name?	1
81	85	may i know your company name?	What is your company name?	1
81	15	may i know your company name?	may i know your company founding date	1
81	81	may i know your company name?	what is your company name	1
81	88	may i know your company name?	may i know your company	1
81	18	may i know your company name?	What is your company's legal name?	1
81	16	may i know your company name?	Your company name	1
81	19	may i know your company name?	What is your Company’s legal name	1
40	40	what are your business plans?	what are your business plans?	1
40	93	what are your business plans?	What is your current business plan	1
40	94	what are your business plans?	Tell me about your business plans	1
40	60	what are your business plans?	may i know your business plans	1
40	96	what are your business plans?	What is your Company’s planned financial growth	1
40	35	what are your business plans?	What is your plan for next year	1
40	98	what are your business plans?	What is your Company’s business continuity plan	1
40	39	what are your business plans?	Which is your best selling product	0
40	38	what are your business plans?	what is your most popular product?	0
40	81	what are your business plans?	what is your company name	0
41	41	what is your organisation name?	what is your organisation name?	1
41	103	what is your organisation name?	your organisation name?	1
41	36	what is your organisation name?	What is your parent organisation name?	1
41	105	what is your organisation name?	Your Organisation name	1
41	85	what is your organisation name?	What is your company name?	1
41	81	what is your organisation name?	what is your company name	1
41	83	what is your organisation name?	may i know your organisation name	1
41	14	what is your organisation name?	your company name?	1
41	37	what is your organisation name?	What is your name	1
41	18	what is your organisation name?	What is your company's legal name?	1
53	53	How will be your online support working	How will be your online support working	1
53	51	How will be your online support working	Can you give me online support	1
53	55	How will be your online support working	is there any online support for clients	1
53	54	How will be your online support working	Do you provide online help for users	1
53	57	How will be your online support working	What is the normal full System support available	0
53	28	How will be your online support working	Where are your Company’s remote, sales and support offices located	0
53	58	How will be your online support working	what are the support you provided for clients	0
53	119	How will be your online support working	where is your company's support offices?	0
53	56	How will be your online support working	Please add about knowledge transfer	0
53	121	How will be your online support working	How do you implement your solution	0
47	47	location of your main office	location of your main office	1
47	24	location of your main office	what is your company location?	1
47	23	location of your main office	where is your company located	1
47	26	location of your main office	what are your client locations?	0
47	28	location of your main office	Where are your Company’s remote, sales and support offices located	0
47	44	location of your main office	Your locations ?	0
47	119	location of your main office	where is your company's support offices?	0
47	21	location of your main office	locations of your company?	0
47	25	location of your main office	what are the company locations	0
47	30	location of your main office	founding date of your company	0
96	96	What is your Company’s planned financial growth	What is your Company’s planned financial growth	1
96	133	What is your Company’s planned financial growth	How is your company's growth	1
96	40	What is your Company’s planned financial growth	what are your business plans?	1
96	135	What is your Company’s planned financial growth	What is your Company’s Turnover rate	1
96	93	What is your Company’s planned financial growth	What is your current business plan	1
96	94	What is your Company’s planned financial growth	Tell me about your business plans	1
96	60	What is your Company’s planned financial growth	may i know your business plans	1
96	98	What is your Company’s planned financial growth	What is your Company’s business continuity plan	0
96	35	What is your Company’s planned financial growth	What is your plan for next year	0
96	38	What is your Company’s planned financial growth	what is your most popular product?	0
141	141	What support documentation is provided	What support documentation is provided	1
141	57	What support documentation is provided	What is the normal full System support available	0
141	119	What support documentation is provided	where is your company's support offices?	0
141	58	What support documentation is provided	what are the support you provided for clients	0
141	53	What support documentation is provided	How will be your online support working	0
141	55	What support documentation is provided	is there any online support for clients	0
141	51	What support documentation is provided	Can you give me online support	0
141	28	What support documentation is provided	Where are your Company’s remote, sales and support offices located	0
141	83	What support documentation is provided	may i know your organisation name	0
141	60	What support documentation is provided	may i know your business plans	0
83	83	may i know your organisation name	may i know your organisation name	1
